distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain
25022.3,3886,213.8,144.0,3886,50.0
27717.5,4601,277.0,0.0,4601,157.0
25024.4,3382,233.4,172.6,3382,48.0
52909.8,11616,424.0,154.0,9398,549.0
13105.9,2598,88.0,52.2,2543,122.0
30403.1,4910,213.4,122.0,4910,184.0
25803.7,3788,168.6,105.0,3693,46.0
29234.0,4967,205.0,115.8,4967,169.0
25024.5,3909,174.6,109.8,3853,49.0
29282.4,5005,203.4,110.4,4965,176.0
25011.8,3703,161.6,98.0,3686,45.0
11644.2,3177,172.2,134.8,2248,119.0
19365.0,2732,221.4,162.4,2642,116.0
29303.4,4972,244.0,150.0,4697,128.0
40575.7,12489,246.6,149.8,6681,269.0
25052.4,3608,193.0,132.6,3570,44.0
29221.6,6169,200.8,107.0,4964,172.0
25042.1,3752,146.6,81.6,3626,45.0
29241.7,5252,175.8,0.0,4393,162.0
24964.6,3843,154.0,0.0,3491,45.0
27707.0,4360,186.6,104.2,4360,151.0
24957.5,3819,162.6,95.4,3533,47.0
48798.7,5699,173.6,89.4,5560,126.0
48207.9,4859,94.4,81.4,4859,36.0
14425.4,1781,167.6,116.6,1732,33.0
14107.8,5177,191.2,169.4,4624,68.0
25867.5,3946,320.4,176.6,3065,180.0
27930.9,4490,264.2,182.2,4307,156.0
25001.7,3493,255.2,189.8,3421,52.0
27816.6,5196,272.4,186.2,4185,156.0
25199.1,3639,233.0,167.8,3366,45.0
29619.5,4873,261.2,171.2,4678,170.0
25031.7,3583,224.6,0.0,3550,43.0
29461.3,5444,275.0,190.6,5062,165.0
25024.8,3784,248.2,178.4,3728,49.0
27963.0,4439,224.8,139.8,4439,151.0
25042.6,3728,187.4,123.0,3659,51.0
38268.4,6560,233.4,151.8,6358,162.0
25662.8,3773,210.6,145.0,3686,42.0
11034.8,1769,231.2,203.6,1769,98.0
27708.7,4539,229.0,144.8,4539,152.0
25058.6,3540,190.0,123.6,3509,43.0
40639.8,9804,367.8,131.4,7526,366.0
21801.2,2908,188.0,137.0,2908,67.0
23137.3,4639,395.8,239.8,4157,358.0
28069.2,4967,293.6,215.0,4967,146.0
25000.6,3532,244.8,183.8,3493,49.0
24984.5,3842,257.0,185.8,3745,48.0
24995.7,4213,345.6,287.8,4121,90.0
24920.9,3938,376.8,306.8,3904,45.0
24992.4,4459,398.4,331.2,4428,99.0
24966.0,3884,380.6,315.8,3855,55.0
24991.5,4145,321.6,249.6,4145,102.0
24975.6,3972,282.4,213.8,3913,56.0
24933.5,4526,363.4,296.0,4459,94.0
24882.6,4254,302.2,240.0,4186,62.0
27798.6,5775,273.2,184.8,5664,179.0
24939.9,4620,251.2,177.6,4424,53.0
24935.2,4399,225.4,155.0,4301,108.0
24962.0,4147,185.2,111.6,4147,51.0
16739.4,5295,295.4,149.2,4276,175.0
26109.4,4555,203.4,139.6,4374,90.0
24977.2,4079,209.8,139.8,4025,50.0
10863.5,1889,216.6,175.6,1889,54.0
10964.4,1707,225.4,182.2,1707,14.0
25030.4,4462,241.8,175.6,4398,99.0
24921.6,4279,224.2,155.4,4177,47.0
25252.2,4587,181.2,112.4,4536,104.0
25006.8,4270,142.0,73.2,4186,51.0
10869.9,1710,211.6,171.4,1695,54.0
10926.3,1702,205.0,0.0,1702,10.0
11020.8,1941,231.2,193.4,1941,51.0
10921.3,1715,265.0,222.8,1686,9.0
10883.8,1882,263.2,221.4,1858,56.0
10964.8,1669,234.8,194.6,1669,23.0
10868.3,1860,191.0,146.6,1837,59.0
10900.0,1587,174.0,133.2,1587,14.0
10865.8,1721,151.8,110.6,1721,53.0
10961.8,1681,152.8,109.4,1642,14.0
100637.0,19049,330.4,218.4,16728,273.0
12879.7,2330,153.8,109.4,2313,56.0
10968.3,1666,127.2,84.4,1666,15.0
24885.9,4257,99.2,41.6,4153,100.0
25019.7,4021,98.8,31.4,3883,50.0
28389.6,5632,119.8,60.6,4574,87.0
25012.7,3943,188.6,114.0,3918,49.0
10875.5,1774,192.2,149.8,1774,53.0
10915.2,1946,179.6,137.6,1708,15.0
25453.3,4990,283.0,222.6,4534,88.0
24968.4,4159,315.4,0.0,4043,49.0
24514.9,4918,310.4,221.6,4918,211.0
25011.2,3893,191.0,129.0,3825,70.0
24521.9,4156,257.4,177.6,4156,181.0
23861.3,3643,258.0,0.0,3578,74.0
24515.0,3964,328.0,248.0,3964,187.0
23813.9,3807,308.2,254.2,3807,77.0
18657.6,3607,317.6,260.8,3607,128.0
23852.2,3473,271.0,222.8,3440,90.0
27724.1,5230,260.8,179.2,5230,219.0
23807.6,3519,191.2,140.4,3519,85.0
24531.2,4559,188.6,107.2,4559,191.0
23788.7,3663,186.2,133.6,3601,78.0
24526.0,4484,209.0,129.8,4332,184.0
23805.9,3673,178.6,124.2,3643,76.0
18721.7,3465,230.6,160.6,3465,125.0
23803.8,3579,116.8,69.6,3579,85.0
24583.0,4174,163.6,84.0,4139,184.0
23835.4,3843,155.8,100.2,3843,71.0
6264.1,1166,112.2,92.4,1128,23.0
72991.8,19238,444.0,8.2,14809,891.0
87752.8,16849,307.4,0.0,14948,649.0
68823.9,15372,131.6,15.6,12641,226.0
26427.4,7038,191.0,-15.8,5809,323.0
58289.0,14050,229.8,-9.4,10996,723.0
10867.5,1840,-32.8,-72.6,1840,50.0
10965.9,1674,-53.4,-95.0,1588,11.0
10431.5,1824,-46.0,-85.6,1824,52.0
10966.0,1615,0.0,-114.0,1545,12.0
10895.9,1855,-68.4,-110.0,1855,55.0
10962.8,1618,-71.2,-114.4,1618,9.0
25213.3,4393,-18.4,-100.8,4393,204.0
