model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
HistGBR depth=6 lr=0.05 it=600,565.0707807622578,22.00974579790888,1076.8697275125378,52.61390149298659,0.9409380109143463,0.004999354204569516
HistGBR depth=None lr=0.05 it=600,565.2469818407832,22.41658905021224,1088.9501709053197,54.41306462888892,0.9396378026520773,0.004778256062761783
HistGBR depth=6 lr=0.1 it=300,566.6998873139271,22.293556630680715,1080.513761055185,53.854335817035754,0.9405588957631604,0.004818363986258533
HistGBR depth=None lr=0.1 it=300,567.5205290075071,24.3505537669041,1093.4259989550949,54.66370205815294,0.9391631442389887,0.004522147100546218
HistGBR depth=3 lr=0.05 it=600,581.683012974112,22.95041529763216,1085.808998388111,42.663838239920246,0.939986036378792,0.00400809943107233
HistGBR depth=3 lr=0.1 it=300,581.7246230481585,23.2898521974635,1088.0444369203335,43.004204695671966,0.9397446685491323,0.003942665807200142
