model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
Poly2 + Ridge (alpha=1e-4) [BEST],707.3855713531441,24.193510053181218,1267.5479638285665,47.75191166381246,0.9182668472062983,0.004387469717038794
"Ridge (degree=1, alpha=1.0)",729.4589310180945,22.849476281235326,1276.789682979227,48.69450811203224,0.9170465996401742,0.004937117119663309
Dummy (median),3048.838062279924,94.14482537941942,4852.255253436636,138.82588650372898,-0.19679184528988253,0.014521692218531855
