,corr_with_moving_time
moving_time,1.0
distance,0.9468405935369616
elapsed_time,0.9178556432589273
total_elevation_gain,0.8193659282378211
highest_elevation,0.5843883058622888
lowest_elevation,-0.04791216092699688
