feature,mae_increase_mean_s,mae_increase_std_s
distance,3440.961980932054,62.508139564634625
total_elevation_gain,434.19722012654546,16.338440272784453
lowest_elevation,159.75064789098593,12.382230347722293
highest_elevation,140.27698899292878,5.409808963393339
elev_gain_per_km,129.3398093649609,6.002560106631269
elev_range,95.12563306381438,7.19062834757234
distance_km,0.0,0.0
