model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
Poly3 + Ridge (alpha=1.0),620.5418500110032,21.739761938163998,1150.3105465162466,82.08650232100518,0.9326322671057531,0.007367476840283905
Poly2 + Ridge (alpha=1.0),641.1577135646621,21.533530915962732,1143.509607973259,47.2051501110407,0.933485467964679,0.003818972478615953
Poly4 + Ridge (alpha=1.0),677.1059857363036,74.97562797309901,2148.6207424899267,876.1016847451413,0.7339623288840154,0.17963080933222186
LinearRegression,721.4771682198685,22.410319450212775,1233.7805986852466,47.07694920880979,0.9225464363536664,0.004519391616201186
Ridge (alpha=1.0),721.4914520051209,22.400493319819272,1233.779996164932,47.069221075335165,0.9225465140459871,0.0045187696431527626
Dummy (median),3048.838062279924,94.14482537941942,4852.255253436636,138.82588650372898,-0.19679184528988253,0.014521692218531855
